economy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FRA,984157070000.0,979490240000.0,1004128270000.0,1018778000000.0,1038109000000.0,1055071000000.0,1069744000000.0,1095968000000.0,1105394000000.0,1128685000000.0,1203421500000.0,1248764100000.0,1293210000000.0,
GBR,709980000000.0,709932000000.0,742589000000.0,716185000000.0,734016000000.0,736760000000.0,741998000000.0,772688000000.0,807753000000.0,820210000000.0,1009936000000.0,997515000000.0,1049184000000.0,1134696000000.0
USA,3920948200000.0,3953861200000.0,3886633700000.0,3862547400000.0,3981212800000.0,4093242600000.0,4215294600000.0,4342256600000.0,4579442000000.0,4850047800000.0,6758346000000.0,7284164500000.0,6306213300000.0,6638996400000.0
