economy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FRA,21.3378695020042,22.4996452716579,21.8295648772748,21.520441960601,21.8364708236132,21.7165418613305,21.5978606152326,22.1813991959176,22.6115738942638,23.0250733613606,22.8044182138435,23.4474845782806,24.1891253222165,23.1533644509286
GBR,16.176215517922,15.9295436638017,16.0601967071538,16.5602031255877,17.7177191688224,17.8693846072767,17.9347223024184,18.4831849687056,18.1814464871133,18.3786714033307,17.5811486266132,18.0269099501181,17.9381324146186,17.1673537304198
USA,18.6722135353972,19.0335385248926,19.9507258841994,20.3792642750296,20.9011935276745,21.4151895660781,20.8879562484549,21.1557690246563,21.5690729259474,21.6698091948266,21.4188185362955,21.3332820408248,21.9497730851586,21.5410327347688
