economy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FRA,564649110095.001,645831742495.137,585688774636.758,606032347168.276,624792988912.194,530422941449.179,533555194347.55,574247217455.53,628958185222.117,626925204346.666,603844131600.624,695554082458.516,676401046061.287,706601695412.562
GBR,402057021419.282,424332113577.834,434763935133.461,461177396769.722,542996400710.455,523199702729.713,482283795189.541,495376721948.294,522051208758.477,524050753209.435,474124616279.872,566644015792.304,558601061921.341,580403254698.262
USA,2809976000000.0,2969181000000.0,3242785000000.0,3440159000000.0,3680311000000.0,3917913000000.0,3927962000000.0,4149091000000.0,4455419000000.0,4667673000000.0,4573797000000.0,5051971000000.0,5708454000000.0,5971327000000.0
