economy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FRA,438019000000.0,449063000000.0,470623000000.0,491419000000.0,497916000000.0,509986000000.0,515298000000.0,542823000000.0,571231000000.0,597578000000.0,571562000000.0,599590000000.0,649748000000.0,
GBR,406536000000.0,429529000000.0,430195000000.0,447769000000.0,463403000000.0,480390000000.0,506974000000.0,533050000000.0,549843000000.0,560966000000.0,521358000000.0,603687000000.0,686510000000.0,743081000000.0
USA,1288676800000.0,1488047300000.0,1587024200000.0,1765757500000.0,1919242700000.0,2045900500000.0,2041182100000.0,2256154000000.0,2051096800000.0,2129405000000.0,2177329600000.0,2666221800000.0,3135087500000.0,2834111700000.0
